コントロール番号,統制分類,統制目的,リスク,コントロール活動,コントロール頻度,コントロール担当者,評価種別,テスト手続,サンプル数,エビデンス種類,前年度実施日,前年度対象期間,前年度確認した証跡,前年度確認観点,前年度テスト結果,前年度発見事項
ITGC-001,アクセス管理,システムへの不正アクセスを防止する,権限のない者がシステムにアクセスし、データを改ざんまたは漏洩するリスク,ユーザーIDの新規登録・変更・削除は申請書に基づき承認を得て実施する,都度,IT部門管理者,整備状況評価,ユーザーID管理規定およびマニュアルの閲覧・査閲,1,ユーザーID管理規定・手順書,2025-11-15,2025年度,「ユーザーID管理規定 v3.2」「ユーザーID登録・変更・削除手順書 v2.1」,申請・承認・実施の職務分離が規定されているか/承認者の権限レベルが適切に定義されているか/削除時の資産返却確認プロセスが含まれているか,適合,なし
ITGC-001,アクセス管理,システムへの不正アクセスを防止する,権限のない者がシステムにアクセスし、データを改ざんまたは漏洩するリスク,ユーザーIDの新規登録・変更・削除は申請書に基づき承認を得て実施する,都度,IT部門管理者,運用状況評価,申請書と承認記録の査閲および実際のユーザーマスタとの突合,24,ユーザーID申請書・承認記録・ユーザーマスタ,2025-11-20,2025/04-2025/09,新規登録8件・権限変更10件・削除6件の申請書/承認記録（電子ワークフロー）/ユーザーマスタ抽出データ（2025/09/30時点）,申請書の必須項目記入漏れがないか/承認者の電子署名と承認日付が記録されているか/申請内容とマスタ登録内容が一致しているか/削除申請の退職日とマスタ削除日が一致しているか,適合,なし
ITGC-002,アクセス管理,特権IDの適切な管理,特権IDの不正使用によるシステム設定変更やデータ改ざんのリスク,特権IDのパスワードは定期的に変更し、使用記録を保管する,月次,IT部門長,整備状況評価,特権ID管理規定およびパスワード管理手順書の閲覧・査閲,1,特権ID管理規定・パスワード管理手順書,2025-11-15,2025年度,「特権ID管理規定 v2.0」「パスワード管理手順書 v1.5」,パスワード変更頻度（月次）が明記されているか/特権ID使用時の申請・承認プロセスが定義されているか/使用ログの保管期間が定義されているか,適合,なし
ITGC-002,アクセス管理,特権IDの適切な管理,特権IDの不正使用によるシステム設定変更やデータ改ざんのリスク,特権IDのパスワードは定期的に変更し、使用記録を保管する,月次,IT部門長,運用状況評価,パスワード変更記録と特権ID使用ログの査閲および変更実施状況の確認,4,パスワード変更記録・特権ID使用ログ,2025-11-22,2025/06-2025/09,パスワード変更記録4ヶ月分（Excel管理台帳）/特権ID使用ログ（syslog形式）4ヶ月分,各月のパスワード変更が月末までに実施されているか/変更実施者が部門長であるか/使用ログに使用者・使用日時・使用目的が記録されているか/使用目的と変更管理票が紐付いているか,適合,なし
ITGC-003,アクセス管理,退職者のアクセス権限削除,退職者のアカウントが残存し不正アクセスに利用されるリスク,退職者リストと照合し、退職日にアクセス権限を削除する,月次,IT部門管理者,整備状況評価,退職者アカウント削除手順書の閲覧・査閲,1,退職者アカウント削除手順書,2025-11-15,2025年度,「退職者アカウント削除手順書 v1.3」,人事部からの退職者リスト受領プロセスが定義されているか/削除実施のタイミング（退職日当日）が明記されているか/削除完了の確認方法が記載されているか,適合,なし
ITGC-003,アクセス管理,退職者のアクセス権限削除,退職者のアカウントが残存し不正アクセスに利用されるリスク,退職者リストと照合し、退職日にアクセス権限を削除する,月次,IT部門管理者,運用状況評価,退職者リストとアカウント削除記録の突合およびユーザーマスタでの削除確認,5,退職者リスト・アカウント削除記録・ユーザーマスタ,2025-11-25,2025/05-2025/09,人事部提供の退職者リスト5ヶ月分（PDF）/アカウント削除作業記録（Excel）/ユーザーマスタ月次スナップショット,退職者リストの全員がアカウント削除記録に含まれているか/削除実施日が退職日以降3営業日以内か/ユーザーマスタで該当アカウントのステータスが「無効」になっているか,不備あり,2025年7月の退職者1名について、削除実施が退職日から5営業日後となっており手順書の基準（3営業日以内）を逸脱。原因は担当者の夏季休暇による対応遅延。改善策として代行者の明確化を実施済み。
ITGC-004,アクセス管理,職務分離の徹底,同一人物が複数の重要な権限を保有することによる不正のリスク,開発・運用・承認の職務を分離し、定期的にアクセス権限をレビューする,四半期,IT部門長,整備状況評価,職務分離マトリクスおよびアクセス権限管理規定の閲覧・査閲,1,職務分離マトリクス・アクセス権限管理規定,2025-11-15,2025年度,「職務分離マトリクス v4.0」「アクセス権限管理規定 v3.1」,開発・運用・承認の職務が明確に分離されているか/兼務が許容されない権限の組み合わせが定義されているか/レビュー頻度（四半期）が明記されているか,適合,なし
ITGC-004,アクセス管理,職務分離の徹底,同一人物が複数の重要な権限を保有することによる不正のリスク,開発・運用・承認の職務を分離し、定期的にアクセス権限をレビューする,四半期,IT部門長,運用状況評価,アクセス権限マトリクスとレビュー記録の査閲および職務分離状況の分析,3,アクセス権限マトリクス・レビュー記録・権限分析レポート,2025-11-28,2025/Q2-Q4,四半期ごとのアクセス権限マトリクス（Excel）/レビュー会議議事録/権限分析レポート（Tableau出力）,職務分離違反（SOD違反）がないか/レビュー会議が四半期末から1ヶ月以内に実施されているか/検出された例外事項に対する承認・代替統制が文書化されているか,適合,なし
ITGC-005,変更管理,システム変更の承認統制,未承認のシステム変更による業務への影響やセキュリティリスク,システム変更は変更管理票に基づき、承認を得てから実施する,都度,IT部門管理者,整備状況評価,変更管理規定および変更管理票フォーマットの閲覧・査閲,1,変更管理規定・変更管理票フォーマット,2025-11-16,2025年度,「変更管理規定 v5.1」「変更管理票テンプレート v3.0」,変更の影響度評価基準が定義されているか/承認者が影響度に応じて階層化されているか/変更実施前の承認取得が必須とされているか/ロールバック計画の作成が義務付けられているか,適合,なし
ITGC-005,変更管理,システム変更の承認統制,未承認のシステム変更による業務への影響やセキュリティリスク,システム変更は変更管理票に基づき、承認を得てから実施する,都度,IT部門管理者,運用状況評価,変更管理票と承認記録の査閲および変更履歴ログとの突合,5,変更管理票・承認記録・変更履歴ログ,2025-12-02,2025/04-2025/09,変更管理票5件（ServiceNowから抽出）/承認フロー記録（電子ワークフロー）/Gitコミット履歴・本番環境デプロイログ,変更管理票の必須項目が全て記入されているか/承認日が変更実施日より前か/承認者が規定に従った権限者か/変更履歴ログと変更管理票の変更内容が一致しているか,適合,なし
